date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-08-19,1000000.0,1092275.4143292399,1000000.0,0,[],0,124
2025-08-20,1000000.0,1094444.7702090575,1000000.0,0,[],0,123
2025-08-21,1000000.0,1096536.691314963,1000000.0,0,[],0,125
2025-08-22,1000000.0,1087588.0687554588,1000000.0,0,[],0,125
2025-08-25,1000000.0,1091190.7363893313,1000000.0,0,[],0,125
2025-08-26,1000000.0,1081002.4481210657,1000000.0,0,[],0,126
2025-08-28,1000000.0,1072789.8696873244,1000000.0,0,[],0,126
2025-08-29,1000000.0,1069419.624596216,1000000.0,0,[],0,126
2025-09-01,1000000.0,1077632.2030299576,1000000.0,0,[],0,126
2025-09-02,1000000.0,1075695.2696929043,1000000.0,0,[],0,124
2025-09-03,1000000.0,1080576.3795330082,1000000.0,0,[],0,122
2025-09-04,1000000.0,1082048.4677845333,1000000.0,0,[],0,125
2025-09-05,1000000.0,1083133.1457244419,1000000.0,0,[],0,125
2025-09-08,1000000.0,1084643.8922524084,1000000.0,0,[],0,126
2025-09-09,1000000.0,1086774.5898557846,1000000.0,0,[],0,126
2025-09-10,1000000.0,1091810.5692437117,1000000.0,0,[],0,125
2025-09-11,1000000.0,1094483.5467065277,1000000.0,0,[],0,125
2025-09-12,1000000.0,1098279.9786067226,1000000.0,0,[],0,125
2025-09-15,1000000.0,1096769.113857727,1000000.0,0,[],0,125
2025-09-16,1000000.0,1103625.9335323544,1000000.0,0,[],0,125
2025-09-17,1000000.0,1107848.4340206075,1000000.0,0,[],0,122
2025-09-18,1000000.0,1110637.6227548055,1000000.0,0,[],0,125
2025-09-19,1000000.0,1107538.4584829027,1000000.0,0,[],0,124
2025-09-22,1000000.0,1102076.2922858887,1000000.0,0,[],0,120
2025-09-23,1000000.0,1101534.0124264488,1000000.0,0,[],0,123
2025-09-24,1000000.0,1095839.4236866708,1000000.0,0,[],0,121
2025-09-25,1000000.0,1089486.2255950419,1000000.0,0,[],0,120
2025-09-26,1000000.0,1079801.5589097752,1000000.0,0,[],0,126
2025-09-29,1000000.0,1079026.8565075712,1000000.0,0,[],0,126
2025-09-30,1000000.0,1075075.4368385237,1000000.0,0,[],0,126
2025-10-01,1000000.0,1086658.3785844024,1000000.0,0,[],0,126
2025-10-03,1000000.0,1089176.3682783663,1000000.0,0,[],0,122
2025-10-06,1000000.0,1096575.4678124334,1000000.0,0,[],1,123
2025-10-07,998121.4889043125,1097892.568295106,917419.085584,1,['AXISBANK.NS'],0,124
